Date;Time;W
29/05/2019;00:00;9000
29/05/2019;00:30;11000
29/05/2019;01:00;11000
29/05/2019;01:30;10000
29/05/2019;02:00;10000
29/05/2019;02:30;11000
29/05/2019;03:00;10000
29/05/2019;03:30;12000
29/05/2019;04:00;11000
29/05/2019;04:30;11000
29/05/2019;05:00;11000
29/05/2019;05:30;11000
29/05/2019;06:00;11000
29/05/2019;06:30;12000
29/05/2019;07:00;11000
29/05/2019;07:30;12000
29/05/2019;08:00;11000
29/05/2019;08:30;13000
29/05/2019;09:00;11000
29/05/2019;09:30;12000
29/05/2019;10:00;11000
29/05/2019;10:30;12000
29/05/2019;11:00;12000
29/05/2019;11:30;13000
29/05/2019;12:00;14000
29/05/2019;12:30;13000
29/05/2019;13:00;12000
29/05/2019;13:30;14000
29/05/2019;14:00;12000
29/05/2019;14:30;12000
29/05/2019;15:00;12000
29/05/2019;15:30;14000
29/05/2019;16:00;12000
29/05/2019;16:30;12000
29/05/2019;17:00;13000
29/05/2019;17:30;13000
29/05/2019;18:00;13000
29/05/2019;18:30;12000
29/05/2019;19:00;13000
29/05/2019;19:30;12000
29/05/2019;20:00;13000
29/05/2019;20:30;13000
29/05/2019;21:00;14000
29/05/2019;21:30;14000
29/05/2019;22:00;16000
29/05/2019;22:30;17000
29/05/2019;23:00;16000
29/05/2019;23:30;18000
30/05/2019;00:00;18000
30/05/2019;00:30;20000
30/05/2019;01:00;16000
30/05/2019;01:30;18000
30/05/2019;02:00;19000
30/05/2019;02:30;19000
30/05/2019;03:00;18000
30/05/2019;03:30;15000
30/05/2019;04:00;18000
30/05/2019;04:30;16000
30/05/2019;05:00;15000
30/05/2019;05:30;15000
30/05/2019;06:00;17000
30/05/2019;06:30;15000
30/05/2019;07:00;13000
30/05/2019;07:30;12000
30/05/2019;08:00;14000
30/05/2019;08:30;11000
30/05/2019;09:00;13000
30/05/2019;09:30;11000
30/05/2019;10:00;14000
30/05/2019;10:30;11000
30/05/2019;11:00;12000
30/05/2019;11:30;10000
30/05/2019;12:00;12000
30/05/2019;12:30;7000
30/05/2019;13:00;9000
30/05/2019;13:30;8000
30/05/2019;14:00;8000
30/05/2019;14:30;10000
30/05/2019;15:00;9000
30/05/2019;15:30;9000
30/05/2019;16:00;13000
30/05/2019;16:30;12000
30/05/2019;17:00;13000
30/05/2019;17:30;11000
30/05/2019;18:00;11000
30/05/2019;18:30;11000
30/05/2019;19:00;9000
30/05/2019;19:30;12000
30/05/2019;20:00;10000
30/05/2019;20:30;11000
30/05/2019;21:00;10000
30/05/2019;21:30;11000
30/05/2019;22:00;10000
30/05/2019;22:30;10000
30/05/2019;23:00;11000
30/05/2019;23:30;11000
01/06/2019;00:00;10000
01/06/2019;03:00;12000
01/06/2019;01:00;11000
01/06/2019;01:30;16000
