datetime;W
20160101:0000;0
20160101:0030;0
20160101:0100;0
20160101:0130;0
20160101:0200;0
20160101:0230;0
20160101:0300;0
20160101:0330;0
20160101:0400;2468,86
20160101:0430;4131,28
20160101:0500;4472,78
20160101:0530;5437,22
20160101:0600;5732,76
20160101:0630;2549,93
20160101:0700;1106,1
20160101:0730;0
20160101:0800;0
20160101:0830;0
20160101:0900;0
20160101:0930;0
20160101:1000;0
20160101:1030;0
20160101:1100;0
20160101:1130;0
20160101:1200;0
20160101:1230;0
20160101:1300;0
20160101:1330;0
20160101:1400;0
20160101:1430;0
20160101:1500;0
20160101:1530;0
20160101:1600;3874,17
20160101:1630;6811,49
20160101:1700;5282,63
20160101:1730;6197,34
20160101:1800;7530,67
20160101:1830;6776,32
20160101:1900;2317,64
20160101:1930;0
20160101:2000;0
20160101:2030;0
20160101:2100;0
20160101:2130;0
20160101:2200;0
20160101:2230;0
20160101:2300;0
20160101:2330;0
20160102:0000;0
20160102:0030;0
20160102:0100;0
20160102:0130;0
20160102:0200;0
20160102:0230;0
20160102:0300;0
20160102:0330;0
20160102:0400;1978,8
20160102:0430;694,55
20160102:0500;4758,77
20160102:0530;4381,53
20160102:0600;2853,19
20160102:0630;1241,01
20160102:0700;981,28
20160102:0730;0
20160102:0800;0
20160102:0830;0
20160102:0900;0
20160102:0930;0
20160102:1000;0
20160102:1030;0
20160102:1100;0
20160102:1130;0
20160102:1200;0
20160102:1230;0
20160102:1300;0
20160102:1330;0
20160102:1400;0
20160102:1430;0
20160102:1500;0
20160102:1530;0
20160102:1600;3989,81
20160102:1630;9011,86
20160102:1700;9374,61
20160102:1730;14632,13
20160102:1800;14151,96
20160102:1830;9713,59
20160102:1900;3853,3
20160102:1930;0
20160102:2000;0
20160102:2030;0
20160102:2100;0
20160102:2130;0
20160102:2200;0
20160102:2230;0
20160102:2300;0
20160102:2330;0
20160103:0000;0
20160103:0030;0
20160103:0100;0
20160103:0130;0
