datetime;W
20160101:0000;0
20160101:0010;0
20160101:0020;0
20160101:0030;0
20160101:0040;0
20160101:0050;0
20160101:0100;0
20160101:0110;0
20160101:0120;2468,86
20160101:0130;4131,28
20160101:0140;4472,78
20160101:0150;5437,22
20160101:0200;5732,76
20160101:0210;2549,93
20160101:0220;1106,1
20160101:0230;0
20160101:0240;0
20160101:0250;0
20160101:0300;0
20160101:0310;0
20160101:0320;0
20160101:0330;0
20160101:0340;0
20160101:0350;0
20160101:0400;0
20160101:0410;0
20160101:0420;0
20160101:0430;0
20160101:0440;0
20160101:0450;0
20160101:0500;0
20160101:0510;0
20160101:0520;3874,17
20160101:0530;6811,49
20160101:0540;5282,63
20160101:0550;6197,34
20160101:0600;7530,67
20160101:0610;6776,32
20160101:0620;2317,64
20160101:0630;0
20160101:0640;0
20160101:0650;0
20160101:0700;0
20160101:0710;0
20160101:0720;0
20160101:0730;0
20160101:0740;0
20160101:0750;0
20160101:0800;0
20160101:0810;0
20160101:0820;0
20160101:0830;0
20160101:0840;0
20160101:0850;0
20160101:0900;0
20160101:0910;0
20160101:0920;1978,8
20160101:0930;694,55
20160101:0940;4758,77
20160101:0950;4381,53
20160101:1000;2853,19
20160101:1010;1241,01
20160101:1020;981,28
20160101:1030;0
20160101:1040;0
20160101:1050;0
20160101:1100;0
20160101:1110;0
20160101:1120;0
20160101:1130;0
20160101:1140;0
20160101:1150;0
20160101:1200;0
20160101:1210;0
20160101:1220;0
20160101:1230;0
20160101:1240;0
20160101:1250;0
20160101:1300;0
20160101:1310;0
20160101:1320;3989,81
20160101:1330;9011,86
20160101:1340;9374,61
20160101:1350;14632,13
20160101:1400;14151,96
20160101:1410;9713,59
20160101:1420;3853,3
20160101:1430;0
20160101:1440;0
20160101:1450;0
20160101:1500;0
20160101:1510;0
20160101:1520;0
20160101:1530;0
20160101:1540;0
20160101:1550;0
20160101:1600;0
20160101:1610;0
20160101:1620;0
20160101:1630;0
