datetime;W
20160114:1155;18188,94
20160114:1255;5773,08
20160114:1355;85,41
20160114:1455;5687,18
20160114:1555;271,09
20160114:1655;0
20160114:1755;0
20160114:1855;0
20160114:1955;0
20160114:2055;0
20160114:2155;0
20160114:2255;0
20160114:2355;0
20160115:0055;0
20160115:0155;0
20160115:0255;0
20160115:0355;0
20160115:0455;0
20160115:0555;0
20160115:0655;0
20160115:0755;0
20160115:0855;4106,45
20160115:0955;10737,99
20160115:1055;16858,85
20160115:1155;18778,09
20160115:1255;12535,49
20160115:1355;11723,05
20160115:1455;5611,54
20160115:1555;341,68
20160115:1655;0
20160115:1755;0
20160115:1855;0
20160115:1955;0
20160115:2055;0
20160115:2155;0
20160115:2255;0
20160115:2355;0
20160116:0055;0
20160116:0155;0
20160116:0255;0
20160116:0355;0
20160116:0455;0
20160116:0555;0
20160116:0655;0
20160116:0755;33,13
20160116:0855;5265,96
20160116:0955;11117,96
20160116:1055;12713,42
20160116:1155;9973,65
20160116:1255;13210,8
20160116:1355;11841,02
20160116:1455;3114,18
20160116:1555;440,35
20160116:1655;0
20160116:1755;0
20160116:1855;0
20160116:1955;0
20160116:2055;0
20160116:2155;0
20160116:2255;0
20160116:2355;0
20160117:0055;0
20160117:0155;0
20160117:0255;0
20160117:0355;0
20160117:0455;0
20160117:0555;0
20160117:0655;0
20160117:0755;88,04
20160117:0855;3258,68
20160117:0955;7553,21
20160117:1055;8052,2
20160117:1155;5846,41
20160117:1255;5647,23
20160117:1355;512,65
20160117:1455;0
20160117:1555;14,47
20160117:1655;0
20160117:1755;0
20160117:1855;0
20160117:1955;0
20160117:2055;0
20160117:2155;0
20160117:2255;0
20160117:2355;0
20160118:0055;0
20160118:0155;0
20160118:0255;0
20160118:0355;0
20160118:0455;0
20160118:0555;0
20160118:0655;0
20160118:0755;109,12
20160118:0855;3890,32
20160118:0955;6911,11
20160118:1055;11667,41
20160118:1155;19178,83
20160118:1255;17650,17
20160118:1355;12670,24
20160118:1455;6805,65
20160118:1555;642,08
20160118:1655;0
20160118:1755;0
20160118:1855;0
20160118:1955;0
20160118:2055;0
20160118:2155;0
20160118:2255;0
20160118:2355;0
20160119:0055;0
20160119:0155;0
20160119:0255;0
20160119:0355;0
20160119:0455;0
20160119:0555;0
20160119:0655;0
20160119:0755;163,31
20160119:0855;4610,13
20160119:0955;4412,19
20160119:1055;14554,57
20160119:1155;15919,1
20160119:1255;14706,14
20160119:1355;7291,04
20160119:1455;2937,98
20160119:1555;439,16
20160119:1655;0
20160119:1755;0
20160119:1855;0
20160119:1955;0
20160119:2055;0
20160119:2155;0
20160119:2255;0
20160119:2355;0
20160120:0055;0
20160120:0155;0
20160120:0255;0
20160120:0355;0
20160120:0455;0
20160120:0555;0
20160120:0655;0
20160120:0755;168,72
20160120:0855;5958,33
20160120:0955;13135,49
20160120:1055;18224,81
20160120:1155;20110,06
20160120:1255;18531,16
20160120:1355;13951,36
20160120:1455;7167,2
20160120:1555;805,73
20160120:1655;0
20160120:1755;0
20160120:1855;0
20160120:1955;0
20160120:2055;0
20160120:2155;0
20160120:2255;0
20160120:2355;0
20160121:0055;0
20160121:0155;0
20160121:0255;0
20160121:0355;0
20160121:0455;0
20160121:0555;0
20160121:0655;0
20160121:0755;211,89
20160121:0855;6105,69
20160121:0955;13344,03
20160121:1055;18429,52
20160121:1155;20363,86
20160121:1255;18810,27
20160121:1355;14056,86
20160121:1455;7276,8
20160121:1555;978,79
20160121:1655;0
