Datetime;W;W
18/03/2019 19:00;4273;3229
18/03/2019 20:00;2955;3958
18/03/2019 21:00;4391;3811
18/03/2019 22:00;3437;3238
18/03/2019 23:00;4590;4702
19/03/2019 00:00;3314;2559
19/03/2019 01:00;2305;2622
19/03/2019 02:00;3194;2828
19/03/2019 03:00;2846;2233
19/03/2019 04:00;2456;3130
19/03/2019 05:00;3126;2598
19/03/2019 06:00;2611;2686
19/03/2019 07:00;3750;3881
19/03/2019 08:00;11278;8723
19/03/2019 09:00;6687;7955
19/03/2019 10:00;9340;14804
19/03/2019 11:00;11405;10871
19/03/2019 12:00;10343;9986
19/03/2019 13:00;12790;11435
19/03/2019 14:00;10544;7915
19/03/2019 15:00;7316;4315
19/03/2019 16:00;4293;3259
19/03/2019 17:00;3855;4058
19/03/2019 18:00;4012;2471
19/03/2019 19:00;2447;2574
19/03/2019 20:00;3111;3183
19/03/2019 21:00;2949;2388
19/03/2019 22:00;2288;1996
19/03/2019 23:00;2879;4330
20/03/2019 00:00;4660;5070
20/03/2019 01:00;2828;2165
20/03/2019 02:00;2566;1865
20/03/2019 03:00;6913;13202
20/03/2019 04:00;6361;5503
20/03/2019 05:00;4571;4148
20/03/2019 06:00;5470;6771
20/03/2019 07:00;4947;2898
20/03/2019 08:00;4553;5569
20/03/2019 09:00;10711;13116
20/03/2019 10:00;9864;10879
20/03/2019 11:00;11085;16641
20/03/2019 12:00;11586;14918
20/03/2019 13:00;12771;11740
20/03/2019 14:00;10061;6731
20/03/2019 15:00;7502;5755
20/03/2019 16:00;4047;3607
20/03/2019 17:00;3844;3864
20/03/2019 18:00;3857;4264
20/03/2019 19:00;3756;2066
20/03/2019 20:00;2607;2806
20/03/2019 21:00;2303;3356
20/03/2019 22:00;2375;1935
20/03/2019 23:00;2344;4354
21/03/2019 00:00;4223;5313
21/03/2019 01:00;2798;2290
21/03/2019 02:00;1677;2042
21/03/2019 03:00;2012;3148
21/03/2019 04:00;2695;2579
21/03/2019 05:00;1889;2058
21/03/2019 06:00;5065;9115
21/03/2019 07:00;12860;7753
21/03/2019 08:00;6606;5181
21/03/2019 09:00;10649;7134
21/03/2019 10:00;8892;10069
21/03/2019 11:00;6795;12847
21/03/2019 12:00;15831;12394
21/03/2019 13:00;13924;14579
21/03/2019 14:00;12423;13583
21/03/2019 15:00;10768;9424
21/03/2019 16:00;4737;3822
21/03/2019 17:00;4512;4124
21/03/2019 18:00;3548;3638
21/03/2019 19:00;2962;3157
21/03/2019 20:00;2653;3259
21/03/2019 21:00;3284;2561
21/03/2019 22:00;2171;2340
21/03/2019 23:00;2305;4814
22/03/2019 00:00;5341;3483
22/03/2019 01:00;2047;2235
22/03/2019 02:00;2007;2506
22/03/2019 03:00;3139;2839
22/03/2019 04:00;2226;1854
22/03/2019 05:00;2145;2053
22/03/2019 06:00;2657;3065
22/03/2019 07:00;4932;5845
22/03/2019 08:00;4126;4956
22/03/2019 09:00;6970;4242
22/03/2019 10:00;8699;8364
22/03/2019 11:00;11221;11350
22/03/2019 12:00;15034;12153
22/03/2019 13:00;15594;14430
22/03/2019 14:00;15472;10625
22/03/2019 15:00;9717;8397
22/03/2019 16:00;7806;5352
22/03/2019 17:00;6099;4312
22/03/2019 18:00;4632;3826
22/03/2019 19:00;6567;5240
22/03/2019 20:00;4218;4446
22/03/2019 21:00;3047;3251
22/03/2019 22:00;2916;5146
22/03/2019 23:00;3021;4205
23/03/2019 00:00;2121;3248
23/03/2019 01:00;2765;2325
23/03/2019 02:00;2215;2049
23/03/2019 03:00;2117;2161
23/03/2019 04:00;3472;2434
23/03/2019 05:00;2296;2257
23/03/2019 06:00;2706;2145
23/03/2019 07:00;4468;3892
23/03/2019 08:00;5770;4150
23/03/2019 09:00;4568;10882
23/03/2019 10:00;12985;7136
23/03/2019 11:00;6077;12547
23/03/2019 12:00;12712;11810
23/03/2019 13:00;12782;13482
23/03/2019 14:00;12906;9141
23/03/2019 15:00;7169;5880
23/03/2019 16:00;3653;3590
23/03/2019 17:00;2898;2791
23/03/2019 18:00;2692;3213
23/03/2019 19:00;3196;4833
23/03/2019 20:00;4763;3382
23/03/2019 21:00;2049;2209
23/03/2019 22:00;2566;2576
23/03/2019 23:00;3135;4170
24/03/2019 00:00;4547;4628
24/03/2019 01:00;3218;2854
24/03/2019 02:00;2874;2034
24/03/2019 03:00;2384;2307
24/03/2019 04:00;2152;2379
24/03/2019 05:00;2611;2511
24/03/2019 06:00;1924;1985
24/03/2019 07:00;2487;4459
24/03/2019 08:00;8259;8710
24/03/2019 09:00;9176;7125
24/03/2019 10:00;7948;7832
24/03/2019 11:00;8349;12705
24/03/2019 12:00;11586;13771
24/03/2019 13:00;16595;14598
24/03/2019 14:00;18963;13718
24/03/2019 15:00;11429;9448
24/03/2019 16:00;6243;3051
24/03/2019 17:00;2636;2073
24/03/2019 18:00;2968;3375
24/03/2019 19:00;2242;2668
24/03/2019 20:00;2684;2485
24/03/2019 21:00;2436;2787
24/03/2019 22:00;3108;2616
24/03/2019 23:00;2268;4301
25/03/2019 00:00;4533;4411
25/03/2019 01:00;4682;3167
25/03/2019 02:00;2217;2121
25/03/2019 03:00;2082;1950
25/03/2019 04:00;2712;4045
25/03/2019 05:00;3106;2710
25/03/2019 06:00;2480;2386
25/03/2019 07:00;2414;2682
25/03/2019 08:00;3104;6974
25/03/2019 09:00;9016;7158
25/03/2019 10:00;6582;7410
25/03/2019 11:00;7559;13060
25/03/2019 12:00;11810;12077
25/03/2019 13:00;15200;12090
25/03/2019 14:00;10137;7657
25/03/2019 15:00;5934;6506
25/03/2019 16:00;4161;2703
25/03/2019 17:00;2191;2298
25/03/2019 18:00;2252;2373
25/03/2019 19:00;2189;2826
25/03/2019 20:00;2480;2207
25/03/2019 21:00;2844;2408
25/03/2019 22:00;2465;3065
25/03/2019 23:00;2795;3678
26/03/2019 00:00;3119;2257
26/03/2019 01:00;2158;2868
26/03/2019 02:00;2765;2465
26/03/2019 03:00;2767;2331
26/03/2019 04:00;2178;2460
26/03/2019 05:00;3266;2736
26/03/2019 06:00;2741;2323
26/03/2019 07:00;3737;7344
26/03/2019 08:00;8091;6120
